Fecha Estreno;titulo;Entradas Total;Espec. Semana;Pantallas;Rank;Semana Cartel;extranjero;pais;region ;original ;tipo
25/11/2021;EL PERRO QUE NO CALLA;4374;211;1;38;14;0;ARGENTINA;ARGENTINA;1;pelicula
17/2/2022;PUNTO ROJO;871;203;1;39;2;1;SUECIA;EUROPA;1;pelicula
3/2/2022;CICLO RETROSPECTIVA DE PATRICIO GUZMAN;1309;202;1;40;4;;;;;festival
19/2/2022;"""CINE Y MÚSICA 1""";396;199;1;41;2;;;;;festival
2/3/2022;REDESCUBRIR A ROBERT BRESSON;198;198;1;42;1;;;;;festival
2/12/2021;EX CASADOS;26177;171;4;43;12;0;ARGENTINA;ARGENTINA;1;pelicula
6/7/2017;SPIDERMAN: DE REGRESO A CASA;1147172;157;5;44;30;1;EE.UU;EE.UU;0;pelicula
16/12/2021;UNA SOLA NOCHE;926;121;5;45;8;0;ARGENTINA;ARGENTINA;1;pelicula
3/2/2022;JESÚS LÓPEZ;1154;111;3;46;4;0;ARGENTINA;ARGENTINA;1;pelicula
20/2/2022;"""CINE Y MÚSICA 2""";268;110;1;47;2;;;;;festival
9/12/2021;EL CUENTO DEL TIO;3710;105;2;48;9;0;ARGENTINA;ARGENTINA;1;pelicula
15/2/2022;EL CURANDERO;255;105;1;49;2;;;;;
3/2/2022;EL REGRESO DE GULLIVER;6695;96;1;50;3;1;UCRANIA;EUROPA;0;pelicula
1/3/2022;"""CICLO CULTURAL SAN MARTIN MARZO 2022""";88;88;1;51;1;;;;;festival
4/3/2022;""" 3RA SEMANA MUNDIAL DE LA CINEFILIA""";87;87;1;52;1;;;;;festival
27/2/2022;"""MUESTRA ESPECIAL DEL BRASIL""";86;86;1;53;1;;;;;festival
7/10/2021;VENOM: CARNAGE LIBERADO;854320;85;1;54;22;0;EE.UU;EE.UU;0;pelicula
10/2/2022;LA LUNA REPRESENTA MI CORAZÓN;750;70;1;55;3;0;ARGENTINA;ARGENTINA;1;documental
30/12/2021;SEXO DESAFORTUNADO O PORNO LOCO;2129;62;2;56;7;1;RUMANIA;EUROPA;1;pelicula
6/1/2022;YO TRAIDOR;4247;60;3;57;8;0;ARGENTINA;ARGENTINA;1;pelicula
1/3/2022;"""TARDES DE CINE ARTE""";59;59;1;58;1;;;;;festival
2/12/2021;MILAGRO DE OTOÑO;1721;56;1;59;9;0;ARGENTINA;ARGENTINA;1;pelicula
20/1/2022;LA ENCOMIENDA;930;48;1;60;5;0;ARGENTINA;ARGENTINA;1;pelicula
9/12/2021;TRES EN LA DERIVA DEL ACTO CREATIVO;804;46;1;61;7;0;ARGENTINA;ARGENTINA;1;documental
10/2/2022;NIDO;445;43;2;62;2;0;ARGENTINA;ARGENTINA;1;documental
27/1/2022;PIEDRA NOCHE;935;30;1;63;4;0;ARGENTINA;ARGENTINA;1;pelicula
11/2/2022;A LOS NIÑOS LA BELLEZA;38;22;1;64;3;0;ARGENTINA;ARGENTINA;1;pelicula
17/2/2022;NOCHE AMERICANA;2123;22;1;65;2;0;ARGENTINA;ARGENTINA;1;pelicula
24/1/2022;VERANO DE CINE ARTE;422;18;1;66;6;;;;;festival
5/3/2021;EL MAESTRO;39;15;2;67;3;0;ARGENTINA;ARGENTINA;1;pelicula
17/2/2022;"""ESTRENO DE RAFAEL FILIPELLI""";155;15;1;68;2;;;;;festival
10/2/2022;LOS PASEOS;368;13;1;69;2;0;ARGENTINA;ARGENTINA;1;pelicula
1/1/2022;MUESTRA FUNDACIÓN COLUMBIA ENERO-ABRIL;81;10;1;70;6;;;;;festival
7/1/2021;ANUNCIAN SISMOS;56;7;3;71;4;0;ARGENTINA;ARGENTINA;1;pelicula
1/1/2022;MUESTRA ENTERRIANA ENERO-ABRIL;24;6;1;72;2;;;;;festival
