"","titulo","entradas_mes","entradas_first_semana","entradas_ult_semana","var_entradas_mensual","entradas_semama_anterio","var_pantallas_semana_previa","var_pantallas_mes","var_rank_mensual","var_rank_ult_semana","rank"
"20","BELFAST",12675,12675,12675,0.00%,NA, NA,0.00%,0,NA,20
"21","EL PADRINO 50 AÑOS",12474,12474,12474,0.00%,NA, NA,0.00%,0,NA,21
"22","JACKASS POR SIEMPRE",10431,100,10331,10231.00%,100,10000.00%,10000.00%,30,30,22
"23","HOY SE ARREGLA EL MUNDO",9844,6248,778,-87.55%,1507,-30.00%,-77.42%,-16,-8,23
"24","EL REGRESO DE GULLIVER",6695,6129,96,-98.43%,470,-95.00%,-98.96%,-38,-27,24
"25","LA CASA GUCCI",4578,1793,618,-65.53%,775,-40.00%,-57.14%,-15,-8,25
"26","MATRIX RESURRECCIONES",3814,2537,1277,-49.66%,2537,-15.38%,-15.38%,-5,-5,26
"27","THE BEATLES GET BACK: EL ÚLTIMO CONCIERTO",3481,3152,329,-89.56%,3152,-50.00%,-50.00%,-19,-19,27
"28","JUSTICIEROS",2787,2787,2787,0.00%,NA, NA,0.00%,0,NA,28
"29","""ETIQUETA NEGRA""",2541,274,473,72.63%,803,0.00%,0.00%,-4,-10,29
"30","HARRY POTTER Y LA PIEDRA FILOSOFAL",2531,2531,2531,0.00%,NA, NA,0.00%,0,NA,30
"31","NOCHE AMERICANA",2123,2101,22,-98.95%,2101,-97.78%,-97.78%,-48,-48,31
"32","LAS COSAS QUE DECIMOS, LAS COSAS QUE HACEMOS",2018,1286,377,-70.68%,21,100.00%,-87.50%,-16,22,32
"33","""CICLO VIVA FELLINI""",1855,1095,760,-30.59%,1095,0.00%,0.00%,-3,-3,33
"34","THE KING' S MAN: EL ORIGEN",1748,1527,221,-85.53%,1527,-80.00%,-80.00%,-17,-17,34
"35","DIGIMON ADVENTURE: LA ULTIMA EVOLUCION",1662,1662,1662,0.00%,NA, NA,0.00%,0,NA,35
"36","CICLO RETROSPECTIVA DE PATRICIO GUZMAN",1309,313,202,-35.46%,563,0.00%,0.00%,-16,-14,36
"37","EX CASADOS",1260,111,171,54.05%,612,0.00%,100.00%,-11,-18,37
"38","RE GRANCHIO",1177,1177,1177,0.00%,NA, NA,0.00%,0,NA,38
"39","JESÚS LÓPEZ",1154,689,111,-83.89%,194,-25.00%,0.00%,-26,-13,39
"40","RIFKINS FESTIVAL",1009,709,116,-83.64%,184,-66.67%,-85.71%,-21,-5,40
"41","PASION, AMOR Y MUERTE",950,950,950,0.00%,NA, NA,0.00%,0,NA,41
"42","LAS CERCANAS",931,931,931,0.00%,NA, NA,0.00%,0,NA,42
"43","BELLE",918,796,122,-84.67%,796,-60.00%,-60.00%,-24,-24,43
"44","EL PERRO QUE NO CALLA",898,193,211,9.33%,301,-50.00%,0.00%,-9,-9,44
"45","PUNTO ROJO",871,668,203,-69.61%,668,-50.00%,-50.00%,-15,-15,45
"46","LA LUNA REPRESENTA MI CORAZÓN",750,597,70,-88.27%,83,0.00%,-50.00%,-33,-11,46
"47","EL HOMBRE QUE VENDIÓ SU PIEL",739,739,739,0.00%,NA, NA,0.00%,0,NA,47
"48",""" FESTIVAL DE CINE ISRAELÍ - CABA SERET 2022""",698,698,698,0.00%,NA, NA,0.00%,0,NA,48
"49","VIDA POETA - HOMERO EXPÓSITO",577,563,14,-97.51%,563,0.00%,0.00%,-36,-36,49
"50","""DESDE FINLANDIA CON AMOR""",559,178,381,114.04%,178,0.00%,0.00%,3,3,50
"51","MY HERO ACADEMIA: MISION MUNDIAL DE HEROES",498,498,498,0.00%,NA, NA,0.00%,0,NA,51
"52","DUNA",482,384,98,-74.48%,384,100.00%,100.00%,-18,-18,52
"53","EL TERRITORIO DEL AMOR",456,456,456,0.00%,NA, NA,0.00%,0,NA,53
"54","SPIDERMAN: DE REGRESO A CASA",454,110,157,42.73%,187,400.00%,400.00%,-1,-10,54
"55","YO TRAIDOR",451,288,60,-79.17%,22,50.00%,0.00%,-31,-3,55
"56","NIDO",445,402,43,-89.30%,402,100.00%,100.00%,-38,-38,56
"57","EL ARO RESURRECCION",409,392,17,-95.66%,392,-50.00%,-50.00%,-32,-32,57
"58","""CINE Y MÚSICA 1""",396,197,199,1.02%,197,0.00%,0.00%,-9,-9,58
"59","VENOM: CARNAGE LIBERADO",396,64,85,32.81%,82,0.00%,0.00%,-14,-9,59
"60","SECTOR VIP",393,393,393,0.00%,NA, NA,0.00%,0,NA,60
"61","AMOR SIN BARRERA",386,72,174,141.67%,140,400.00%,400.00%,3,4,61
"62","LOS PASEOS",368,355,13,-96.34%,355,0.00%,0.00%,-42,-42,62
"63","HISTORIAS BREVES 19",364,364,364,0.00%,NA, NA,0.00%,0,NA,63
"64","SEXO DESAFORTUNADO O PORNO LOCO",326,264,62,-76.52%,264,0.00%,0.00%,-25,-25,64
"65","BUITRES, LA CARA SALVAJE DEL CAPITALISMO",292,292,292,0.00%,NA, NA,0.00%,0,NA,65
"66","PIEDRA NOCHE",284,81,30,-62.96%,173,-50.00%,-50.00%,-26,-26,66
"67","EN COMPAÑIA",274,274,274,0.00%,NA, NA,0.00%,0,NA,67
"68","""CINE Y MÚSICA 2""",268,158,110,-30.38%,158,0.00%,0.00%,-9,-9,68
"69","EL PISO DEL VIENTO",258,258,258,0.00%,NA, NA,0.00%,0,NA,69
"70","LA VIDA DORMIDA",256,256,256,0.00%,NA, NA,0.00%,0,NA,70
"71","EL CURANDERO",255,150,105,-30.00%,150,0.00%,0.00%,-10,-10,71
"72","TOXICO",252,252,252,0.00%,NA, NA,0.00%,0,NA,72
"73","PAW PATROL LA PELÍCULA",251,251,251,0.00%,NA, NA,0.00%,0,NA,73
"74","LA ENCOMIENDA",226,136,48,-64.71%,42,-50.00%,0.00%,-19,-10,74
"75","VERANO DE CINE ARTE",223,76,18,-76.32%,47,0.00%,0.00%,-28,-17,75
"76","REDESCUBRIR A ROBERT BRESSON",198,198,198,0.00%,NA, NA,0.00%,0,NA,76
"77","LA CRONICA FRANCESA",187,164,23,-85.98%,164,0.00%,0.00%,-21,-21,77
"78","ALMA PURA",183,183,183,0.00%,NA, NA,0.00%,0,NA,78
"79","TRES EN LA DERIVA DEL ACTO CREATIVO",183,33,46,39.39%,60,0.00%,0.00%,-19,-15,79
"80","BODA NEGRA",182,182,182,0.00%,NA, NA,0.00%,0,NA,80
"81","UNA SOLA NOCHE",173,52,121,132.69%,52,0.00%,0.00%,3,3,81
"82","MILAGRO DE OTOÑO",172,82,56,-31.71%,34,0.00%,0.00%,-23,-7,82
"83","KING RICHARD: UNA FAMILIA GANADORA",162,54,108,100.00%,54,400.00%,400.00%,6,6,83
"84","""ESTRENO DE RAFAEL FILIPELLI""",155,140,15,-89.29%,140,0.00%,0.00%,-29,-29,84
"85","EL CUENTO DEL TIO",132,27,105,288.89%,27,100.00%,100.00%,-4,-4,85
"86","EL EMPLEADO Y EL PATRON",119,59,12,-79.66%,48,-66.67%,-80.00%,-19,-12,86
"87","SPIDER-MAN: LEJOS DE CASA",118,96,22,-77.08%,96,0.00%,0.00%,-20,-20,87
"88","CODA",99,41,58,41.46%,41,500.00%,500.00%,3,3,88
"89","LA TEORIA DE LOS VIDRIOS ROTOS",98,7,91,1200.00%,7,100.00%,100.00%,6,6,89
"90","EL SECRETO DE MARO",95,85,10,-88.24%,85,-66.67%,-66.67%,-24,-24,90
"91","""CICLO CULTURAL SAN MARTIN MARZO 2022""",88,88,88,0.00%,NA, NA,0.00%,0,NA,91
"92",""" 3RA SEMANA MUNDIAL DE LA CINEFILIA""",87,87,87,0.00%,NA, NA,0.00%,0,NA,92
"93","""MUESTRA ESPECIAL DEL BRASIL""",86,86,86,0.00%,NA, NA,0.00%,0,NA,93
"94","LA SOMBRA DEL GATO",74,16,42,162.50%,16,0.00%,0.00%,-3,5,94
"95","MUESTRA FUNDACIÓN COLUMBIA ENERO-ABRIL",60,21,10,-52.38%,18,0.00%,0.00%,-23,-14,95
"96","""TARDES DE CINE ARTE""",59,59,59,0.00%,NA, NA,0.00%,0,NA,96
"97","A LOS NIÑOS LA BELLEZA",38,2,22,1000.00%,14,-50.00%,0.00%,-3,-6,97
"98","HUSEK",36,27,9,-66.67%,27,0.00%,0.00%,-17,-17,98
"99","EL APEGO",34,31,3,-90.32%,31,0.00%,0.00%,-23,-23,99
"100","EL PERFECTO DAVID",31,2,29,1350.00%,2,0.00%,0.00%,-1,-1,100
"101","9",27,22,5,-77.27%,22,-66.67%,-66.67%,-19,-19,101
"102","ANUNCIAN SISMOS",27,8,7,-12.50%,12,200.00%,200.00%,-11,-10,102
"103","RETIROS (IN) VOLUNTARIOS",25,25,25,0.00%,NA, NA,0.00%,0,NA,103
"104","ERRANTE CORAZON",22,22,22,0.00%,NA, NA,0.00%,0,NA,104
"105","EL MAESTRO",15,15,15,0.00%,NA, NA,0.00%,0,NA,105
"106","CERRO QUEMADO",13,13,13,0.00%,NA, NA,0.00%,0,NA,106
"107","INMORTAL",13,13,13,0.00%,NA, NA,0.00%,0,NA,107
"108","CHICAS ROLINGAS",8,8,8,0.00%,NA, NA,0.00%,0,NA,108
"109","UN JABALI AL ACECHO",8,8,8,0.00%,NA, NA,0.00%,0,NA,109
"110","MUESTRA ENTERRIANA ENERO-ABRIL",6,6,6,0.00%,NA, NA,0.00%,0,NA,110
"111","AGENTES 355",5,5,5,0.00%,NA, NA,0.00%,0,NA,111
"112","YO NENA YO PRINCESA",5,5,5,0.00%,NA, NA,0.00%,0,NA,112
