"","titulo","entradas_mes","entradas_ult_semana","entradas_semama_anterio","entradas_first_semana","semanas_total","pantallas_max","pantallas_mes","pantallas_ult_semana","pantallas_semana_anterior","pantallas_first_semana","semanas_mes","pais","region","tipo","cantidad","mes","Rank","rank_mes","rank_anterior","rank_total","rank"
"39","JESÚS LÓPEZ",1154,111,194,689,4,5,15,3,4,3,4,"ARGENTINA","ARGENTINA","pelicula",1,"FEBRERO",46,20,33,39,46
"40","RIFKINS FESTIVAL",1009,116,184,709,6,7,11,1,3,7,3,"EE.UU","EE.UU","pelicula",1,"FEBRERO",40,19,35,40,40
"41","PASION, AMOR Y MUERTE",950,950,NA,950,1,42,42,42,NA,42,1,"EE.UU","EE.UU","pelicula",1,"FEBRERO",24,24,NA,41,24
"42","LAS CERCANAS",931,931,NA,931,1,4,4,4,NA,4,1,"ARGENTINA","ARGENTINA","documental",1,"FEBRERO",25,25,NA,42,25
"43","BELLE",918,122,796,796,6,5,7,2,5,5,2,"JAPON ","ASIA","pelicula",1,"FEBRERO",42,18,18,43,42
"44","EL PERRO QUE NO CALLA",898,211,301,193,14,2,5,1,2,1,4,"ARGENTINA","ARGENTINA","pelicula",1,"FEBRERO",38,29,29,44,38
"45","PUNTO ROJO",871,203,668,668,2,2,3,1,2,2,2,"SUECIA","EUROPA","pelicula",1,"FEBRERO",39,24,24,45,39
"46","LA LUNA REPRESENTA MI CORAZÓN",750,70,83,597,3,2,4,1,1,2,3,"ARGENTINA","ARGENTINA","documental",1,"FEBRERO",55,22,44,46,55
"47","EL HOMBRE QUE VENDIÓ SU PIEL",739,739,NA,739,1,13,13,13,NA,13,1,"TURQUIA","EUROPA","pelicula",1,"FEBRERO",28,28,NA,47,28
"48",""" FESTIVAL DE CINE ISRAELÍ - CABA SERET 2022""",698,698,NA,698,1,4,4,4,NA,4,1,"","","festival",1,"FEBRERO",29,29,NA,48,29
"49","VIDA POETA - HOMERO EXPÓSITO",577,14,563,563,4,1,2,1,1,1,2,"ARGENTINA","ARGENTINA","documental",1,"FEBRERO",57,21,21,49,57
"50","""DESDE FINLANDIA CON AMOR""",559,381,178,178,2,1,2,1,1,1,2,"","","festival",1,"FEBRERO",32,35,35,50,32
"51","MY HERO ACADEMIA: MISION MUNDIAL DE HEROES",498,498,NA,498,5,4,4,4,NA,4,1,"JAPON ","ASIA","pelicula",1,"FEBRERO",22,22,NA,51,22
"52","DUNA",482,98,384,384,14,6,9,6,3,3,2,"EE.UU","EE.UU","pelicula",1,"FEBRERO",43,25,25,52,43
"53","EL TERRITORIO DEL AMOR",456,456,NA,456,1,7,7,7,NA,7,1,"FRANCIA","EUROPA","pelicula",1,"FEBRERO",27,27,NA,53,27
"54","SPIDERMAN: DE REGRESO A CASA",454,157,187,110,30,5,7,5,1,1,3,"EE.UU","EE.UU","pelicula",1,"FEBRERO",44,43,34,54,44
"55","YO TRAIDOR",451,60,22,288,8,6,14,3,2,3,4,"ARGENTINA","ARGENTINA","pelicula",1,"FEBRERO",57,26,54,55,57
"56","NIDO",445,43,402,402,2,2,3,2,1,1,2,"ARGENTINA","ARGENTINA","documental",1,"FEBRERO",62,24,24,56,62
"57","EL ARO RESURRECCION",409,17,392,392,8,2,3,1,2,2,2,"CHINA","ASIA","pelicula",1,"FEBRERO",55,23,23,57,55
"58","""CINE Y MÚSICA 1""",396,199,197,197,2,1,2,1,1,1,2,"","","festival",1,"FEBRERO",41,32,32,58,41
"59","VENOM: CARNAGE LIBERADO",396,85,82,64,22,1,4,1,1,1,4,"EE.UU","EE.UU","pelicula",1,"FEBRERO",54,40,45,59,54
"60","SECTOR VIP",393,393,NA,393,1,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"FEBRERO",28,28,NA,60,28
"61","AMOR SIN BARRERA",386,174,140,72,13,5,7,5,1,1,3,"EE.UU","EE.UU","pelicula",1,"FEBRERO",36,39,40,61,36
"62","LOS PASEOS",368,13,355,355,2,1,2,1,1,1,2,"ARGENTINA","ARGENTINA","pelicula",1,"FEBRERO",69,27,27,62,69
"63","HISTORIAS BREVES 19",364,364,NA,364,1,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"FEBRERO",34,34,NA,63,34
"64","SEXO DESAFORTUNADO O PORNO LOCO",326,62,264,264,7,2,4,2,2,2,2,"RUMANIA","EUROPA","pelicula",1,"FEBRERO",56,31,31,64,56
"65","BUITRES, LA CARA SALVAJE DEL CAPITALISMO",292,292,NA,292,1,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"FEBRERO",25,25,NA,65,25
"66","PIEDRA NOCHE",284,30,173,81,4,2,5,1,2,2,3,"ARGENTINA","ARGENTINA","pelicula",1,"FEBRERO",63,37,37,66,63
"67","EN COMPAÑIA",274,274,NA,274,3,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"FEBRERO",30,30,NA,67,30
"68","""CINE Y MÚSICA 2""",268,110,158,158,2,1,2,1,1,1,2,"","","festival",1,"FEBRERO",47,38,38,68,47
"69","EL PISO DEL VIENTO",258,258,NA,258,1,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"FEBRERO",30,30,NA,69,30
"70","LA VIDA DORMIDA",256,256,NA,256,7,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"FEBRERO",28,28,NA,70,28
"71","EL CURANDERO",255,105,150,150,2,1,2,1,1,1,2,"","","",1,"FEBRERO",49,39,39,71,49
"72","TOXICO",252,252,NA,252,7,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"FEBRERO",31,31,NA,72,31
"73","PAW PATROL LA PELÍCULA",251,251,NA,251,17,2,2,2,NA,2,1,"EE.UU","EE.UU","pelicula",1,"FEBRERO",37,37,NA,73,37
"74","LA ENCOMIENDA",226,48,42,136,5,2,4,1,2,1,3,"ARGENTINA","ARGENTINA","pelicula",1,"FEBRERO",60,41,50,74,60
"75","VERANO DE CINE ARTE",223,18,47,76,6,1,4,1,1,1,4,"","","festival",1,"FEBRERO",66,38,49,75,66
"76","REDESCUBRIR A ROBERT BRESSON",198,198,NA,198,1,1,1,1,NA,1,1,"","","festival",1,"FEBRERO",42,42,NA,76,42
"77","LA CRONICA FRANCESA",187,23,164,164,14,1,2,1,1,1,2,"EE.UU","EE.UU","pelicula",1,"FEBRERO",52,31,31,77,52
"78","ALMA PURA",183,183,NA,183,3,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"FEBRERO",36,36,NA,78,36
"79","TRES EN LA DERIVA DEL ACTO CREATIVO",183,46,60,33,7,1,4,1,1,1,4,"ARGENTINA","ARGENTINA","documental",1,"FEBRERO",61,42,46,79,61
"80","BODA NEGRA",182,182,NA,182,3,3,3,3,NA,3,1,"RUSIA","EUROPA","pelicula",1,"FEBRERO",30,30,NA,80,30
"81","UNA SOLA NOCHE",173,121,52,52,8,5,10,5,5,5,2,"ARGENTINA","ARGENTINA","pelicula",1,"FEBRERO",45,48,48,81,45
"82","MILAGRO DE OTOÑO",172,56,34,82,9,1,3,1,1,1,3,"ARGENTINA","ARGENTINA","pelicula",1,"FEBRERO",59,36,52,82,59
"83","KING RICHARD: UNA FAMILIA GANADORA",162,108,54,54,6,5,6,5,1,1,2,"EE.UU","EE.UU","pelicula",1,"FEBRERO",41,47,47,83,41
"84","""ESTRENO DE RAFAEL FILIPELLI""",155,15,140,140,2,1,2,1,1,1,2,"","","festival",1,"FEBRERO",68,39,39,84,68
"85","EL CUENTO DEL TIO",132,105,27,27,9,2,3,2,1,1,2,"ARGENTINA","ARGENTINA","pelicula",1,"FEBRERO",48,44,44,85,48
"86","EL EMPLEADO Y EL PATRON",119,12,48,59,6,5,9,1,3,5,3,"URUGUAY","LATAM","pelicula",1,"FEBRERO",60,41,48,86,60
"87","SPIDER-MAN: LEJOS DE CASA",118,22,96,96,28,1,2,1,1,1,2,"EE.UU","EE.UU","pelicula",1,"FEBRERO",54,34,34,87,54
"88","CODA",99,58,41,41,4,6,7,6,1,1,2,"EE.UU","EE.UU","pelicula",1,"FEBRERO",47,50,50,88,47
"89","LA TEORIA DE LOS VIDRIOS ROTOS",98,91,7,7,8,2,3,2,1,1,2,"URUGUAY","LATAM","pelicula",1,"FEBRERO",44,50,50,89,44
"90","EL SECRETO DE MARO",95,10,85,85,10,3,4,1,3,3,2,"ARGENTINA","ARGENTINA","pelicula",1,"FEBRERO",59,35,35,90,59
"91","""CICLO CULTURAL SAN MARTIN MARZO 2022""",88,88,NA,88,1,1,1,1,NA,1,1,"","","festival",1,"FEBRERO",51,51,NA,91,51
"92",""" 3RA SEMANA MUNDIAL DE LA CINEFILIA""",87,87,NA,87,1,1,1,1,NA,1,1,"","","festival",1,"FEBRERO",52,52,NA,92,52
"93","""MUESTRA ESPECIAL DEL BRASIL""",86,86,NA,86,1,1,1,1,NA,1,1,"","","festival",1,"FEBRERO",53,53,NA,93,53
"94","LA SOMBRA DEL GATO",74,42,16,16,9,1,3,1,1,1,3,"ARGENTINA","ARGENTINA","pelicula",1,"FEBRERO",51,48,56,94,51
"95","MUESTRA FUNDACIÓN COLUMBIA ENERO-ABRIL",60,10,18,21,6,1,4,1,1,1,4,"","","festival",1,"FEBRERO",70,47,56,95,70
"96","""TARDES DE CINE ARTE""",59,59,NA,59,1,1,1,1,NA,1,1,"","","festival",1,"FEBRERO",58,58,NA,96,58
"97","A LOS NIÑOS LA BELLEZA",38,22,14,2,3,2,4,1,2,1,3,"ARGENTINA","ARGENTINA","pelicula",1,"FEBRERO",64,61,58,97,64
"98","HUSEK",36,9,27,27,6,1,2,1,1,1,2,"ARGENTINA","ARGENTINA","pelicula",1,"FEBRERO",62,45,45,98,62
"99","EL APEGO",34,3,31,31,11,1,2,1,1,1,2,"ARGENTINA","ARGENTINA","pelicula",1,"FEBRERO",66,43,43,99,66
"100","EL PERFECTO DAVID",31,29,2,2,8,1,2,1,1,1,2,"ARGENTINA","ARGENTINA","pelicula",1,"FEBRERO",53,52,52,100,53
"101","9",27,5,22,22,7,3,4,1,3,3,2,"URUGUAY","LATAM","pelicula",1,"FEBRERO",65,46,46,101,65
"102","ANUNCIAN SISMOS",27,7,12,8,4,3,5,3,1,1,3,"ARGENTINA","ARGENTINA","pelicula",1,"FEBRERO",71,60,61,102,71
"103","RETIROS (IN) VOLUNTARIOS",25,25,NA,25,6,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"FEBRERO",51,51,NA,103,51
"104","ERRANTE CORAZON",22,22,NA,22,11,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"FEBRERO",53,53,NA,104,53
"105","EL MAESTRO",15,15,NA,15,3,2,2,2,NA,2,1,"ARGENTINA","ARGENTINA","pelicula",1,"FEBRERO",67,67,NA,105,67
"106","CERRO QUEMADO",13,13,NA,13,3,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"FEBRERO",59,59,NA,106,59
"107","INMORTAL",13,13,NA,13,11,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"FEBRERO",57,57,NA,107,57
"108","CHICAS ROLINGAS",8,8,NA,8,1,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"FEBRERO",63,63,NA,108,63
"109","UN JABALI AL ACECHO",8,8,NA,8,6,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"FEBRERO",49,49,NA,109,49
"110","MUESTRA ENTERRIANA ENERO-ABRIL",6,6,NA,6,2,1,1,1,NA,1,1,"","","festival",1,"FEBRERO",72,72,NA,110,72
"111","AGENTES 355",5,5,NA,5,3,1,1,1,NA,1,1,"EE.UU","EE.UU","pelicula",1,"FEBRERO",51,51,NA,111,51
"112","YO NENA YO PRINCESA",5,5,NA,5,13,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"FEBRERO",64,64,NA,112,64
