Fecha Estreno;titulo;Entradas Total;Espec. Semana;Pantallas;Rank;Semana Cartel;extranjero;pais;region ;original ;tipo
3/2/2022;JESÚS LÓPEZ;1043;194;4;33;3;0;ARGENTINA;ARGENTINA;1;pelicula
6/7/2017;SPIDERMAN: DE REGRESO A CASA;1147015;187;1;34;29;1;EE.UU;EE.UU;0;pelicula
22/2/2022;"""DESDE FINLANDIA CON AMOR""";178;178;1;35;1;;;;;festival
9/12/2021;AMOR SIN BARRERA;15466;174;5;36;13;1;EE.UU;EE.UU;0;pelicula
27/1/2022;PIEDRA NOCHE;905;173;2;37;3;0;ARGENTINA;ARGENTINA;1;pelicula
20/2/2022;"""CINE Y MÚSICA 2""";158;158;1;38;1;;;;;festival
17/2/2022;"""ESTRENO DE RAFAEL FILIPELLI""";140;140;1;39;1;;;;;festival
20/1/2022;RIFKINS FESTIVAL;10715;116;1;40;6;1;EE.UU;EE.UU;1;pelicula
2/12/2021;KING RICHARD: UNA FAMILIA GANADORA;18597;108;5;41;6;1;EE.UU;EE.UU;1;pelicula
24/2/2022;JACKASS POR SIEMPRE;100;100;1;42;1;1;EE.UU;EE.UU;0;pelicula
21/10/2021;DUNA;176404;98;6;43;14;1;EE.UU;EE.UU;0;pelicula
10/2/2022;LA LUNA REPRESENTA MI CORAZÓN;680;83;1;44;2;0;ARGENTINA;ARGENTINA;1;documental
7/10/2021;VENOM: CARNAGE LIBERADO;854235;82;1;45;21;1;EE.UU;EE.UU;0;pelicula
9/12/2021;TRES EN LA DERIVA DEL ACTO CREATIVO;758;60;1;46;6;0;ARGENTINA;ARGENTINA;1;documental
21/10/2021;CODA;3601;58;6;47;4;1;EE.UU;EE.UU;1;pelicula
16/12/2021;UNA SOLA NOCHE;805;52;5;48;7;0;ARGENTINA;ARGENTINA;1;pelicula
24/1/2022;VERANO DE CINE ARTE;404;47;1;49;5;;;;;festival
20/1/2022;LA ENCOMIENDA;882;42;2;50;4;0;ARGENTINA;ARGENTINA;1;pelicula
23/12/2021;LA SOMBRA DEL GATO;799;42;1;51;9;0;ARGENTINA;ARGENTINA;1;pelicula
2/12/2021;MILAGRO DE OTOÑO;1665;34;1;52;8;0;ARGENTINA;ARGENTINA;1;pelicula
9/12/2021;EL PERFECTO DAVID;897;29;1;53;8;0;ARGENTINA;ARGENTINA;1;pelicula
6/1/2022;YO TRAIDOR;4187;22;2;54;7;0;ARGENTINA;ARGENTINA;1;pelicula
3/2/2022;LAS COSAS QUE DECIMOS, LAS COSAS QUE HACEMOS;1641;21;1;55;3;1;FRANCIA;EUROPA;1;pelicula
1/1/2022;MUESTRA FUNDACIÓN COLUMBIA ENERO-ABRIL;71;18;1;56;5;;;;;festival
16/12/2021;VIDA POETA - HOMERO EXPÓSITO;683;14;1;57;4;0;ARGENTINA;ARGENTINA;1;documental
11/2/2022;A LOS NIÑOS LA BELLEZA;16;14;2;58;2;0;ARGENTINA;ARGENTINA;1;pelicula
20/1/2022;CERRO QUEMADO;34;13;1;59;3;0;ARGENTINA;ARGENTINA;1;pelicula
13/1/2022;EL EMPLEADO Y EL PATRON;1042;12;1;60;6;1;URUGUAY;LATAM;1;pelicula
7/1/2021;ANUNCIAN SISMOS;49;12;1;61;3;0;ARGENTINA;ARGENTINA;1;pelicula
6/1/2022;HUSEK;843;9;1;62;6;0;ARGENTINA;ARGENTINA;1;pelicula
19/2/2022;CHICAS ROLINGAS;8;8;1;63;1;0;ARGENTINA;ARGENTINA;1;pelicula
28/10/2021;YO NENA YO PRINCESA;43680;5;1;64;13;0;ARGENTINA;ARGENTINA;1;pelicula
23/12/2021;9;237;5;1;65;7;1;URUGUAY;LATAM;1;pelicula
4/11/2021;EL APEGO;1518;3;1;66;11;0;ARGENTINA;ARGENTINA;1;pelicula
