"","titulo","entradas_mes","entradas_ult_semana","entradas_semama_anterio","entradas_first_semana","semanas_total","pais","region","tipo","pantallas_max","pantallas_mes","cantidad","mes","semanas_mes","rank"
"51","MY HERO ACADEMIA: MISION MUNDIAL DE HEROES",498,498,NA,498,5,"JAPON ","ASIA","pelicula",4,4,1,"FEBRERO",1,51
"52","DUNA",482,98,384,384,14,"EE.UU","EE.UU","pelicula",6,9,1,"FEBRERO",1,52
"53","EL TERRITORIO DEL AMOR",456,456,NA,456,1,"FRANCIA","EUROPA","pelicula",7,7,1,"FEBRERO",1,53
"54","SPIDERMAN: DE REGRESO A CASA",454,157,187,110,30,"EE.UU","EE.UU","pelicula",5,7,1,"FEBRERO",1,54
"55","YO TRAIDOR",451,60,22,288,8,"ARGENTINA","ARGENTINA","pelicula",6,14,1,"FEBRERO",1,55
"56","NIDO",445,43,402,402,2,"ARGENTINA","ARGENTINA","documental",2,3,1,"FEBRERO",1,56
"57","EL ARO RESURRECCION",409,17,392,392,8,"CHINA","ASIA","pelicula",2,3,1,"FEBRERO",1,57
"58","""CINE Y MÚSICA 1""",396,199,197,197,2,"","","festival",1,2,1,"FEBRERO",1,58
"59","VENOM: CARNAGE LIBERADO",396,85,82,64,22,"EE.UU","EE.UU","pelicula",1,4,1,"FEBRERO",1,59
"60","SECTOR VIP",393,393,NA,393,1,"ARGENTINA","ARGENTINA","pelicula",1,1,1,"FEBRERO",1,60
"61","AMOR SIN BARRERA",386,174,140,72,13,"EE.UU","EE.UU","pelicula",5,7,1,"FEBRERO",1,61
"62","LOS PASEOS",368,13,355,355,2,"ARGENTINA","ARGENTINA","pelicula",1,2,1,"FEBRERO",1,62
"63","HISTORIAS BREVES 19",364,364,NA,364,1,"ARGENTINA","ARGENTINA","pelicula",1,1,1,"FEBRERO",1,63
"64","SEXO DESAFORTUNADO O PORNO LOCO",326,62,264,264,7,"RUMANIA","EUROPA","pelicula",2,4,1,"FEBRERO",1,64
"65","BUITRES, LA CARA SALVAJE DEL CAPITALISMO",292,292,NA,292,1,"ARGENTINA","ARGENTINA","documental",1,1,1,"FEBRERO",1,65
"66","PIEDRA NOCHE",284,30,173,81,4,"ARGENTINA","ARGENTINA","pelicula",2,5,1,"FEBRERO",1,66
"67","EN COMPAÑIA",274,274,NA,274,3,"ARGENTINA","ARGENTINA","documental",1,1,1,"FEBRERO",1,67
"68","""CINE Y MÚSICA 2""",268,110,158,158,2,"","","festival",1,2,1,"FEBRERO",1,68
"69","EL PISO DEL VIENTO",258,258,NA,258,1,"ARGENTINA","ARGENTINA","documental",1,1,1,"FEBRERO",1,69
"70","LA VIDA DORMIDA",256,256,NA,256,7,"ARGENTINA","ARGENTINA","documental",1,1,1,"FEBRERO",1,70
"71","EL CURANDERO",255,105,150,150,2,"","","",1,2,1,"FEBRERO",1,71
"72","TOXICO",252,252,NA,252,7,"ARGENTINA","ARGENTINA","pelicula",1,1,1,"FEBRERO",1,72
"73","PAW PATROL LA PELÍCULA",251,251,NA,251,17,"EE.UU","EE.UU","pelicula",2,2,1,"FEBRERO",1,73
"74","LA ENCOMIENDA",226,48,42,136,5,"ARGENTINA","ARGENTINA","pelicula",2,4,1,"FEBRERO",1,74
"75","VERANO DE CINE ARTE",223,18,47,76,6,"","","festival",1,4,1,"FEBRERO",1,75
"76","REDESCUBRIR A ROBERT BRESSON",198,198,NA,198,1,"","","festival",1,1,1,"FEBRERO",1,76
"77","LA CRONICA FRANCESA",187,23,164,164,14,"EE.UU","EE.UU","pelicula",1,2,1,"FEBRERO",1,77
"78","ALMA PURA",183,183,NA,183,3,"ARGENTINA","ARGENTINA","pelicula",1,1,1,"FEBRERO",1,78
"79","TRES EN LA DERIVA DEL ACTO CREATIVO",183,46,60,33,7,"ARGENTINA","ARGENTINA","documental",1,4,1,"FEBRERO",1,79
"80","BODA NEGRA",182,182,NA,182,3,"RUSIA","EUROPA","pelicula",3,3,1,"FEBRERO",1,80
"81","UNA SOLA NOCHE",173,121,52,52,8,"ARGENTINA","ARGENTINA","pelicula",5,10,1,"FEBRERO",1,81
"82","MILAGRO DE OTOÑO",172,56,34,82,9,"ARGENTINA","ARGENTINA","pelicula",1,3,1,"FEBRERO",1,82
"83","KING RICHARD: UNA FAMILIA GANADORA",162,108,54,54,6,"EE.UU","EE.UU","pelicula",5,6,1,"FEBRERO",1,83
"84","""ESTRENO DE RAFAEL FILIPELLI""",155,15,140,140,2,"","","festival",1,2,1,"FEBRERO",1,84
"85","EL CUENTO DEL TIO",132,105,27,27,9,"ARGENTINA","ARGENTINA","pelicula",2,3,1,"FEBRERO",1,85
"86","EL EMPLEADO Y EL PATRON",119,12,48,59,6,"URUGUAY","LATAM","pelicula",5,9,1,"FEBRERO",1,86
"87","SPIDER-MAN: LEJOS DE CASA",118,22,96,96,28,"EE.UU","EE.UU","pelicula",1,2,1,"FEBRERO",1,87
"88","CODA",99,58,41,41,4,"EE.UU","EE.UU","pelicula",6,7,1,"FEBRERO",1,88
"89","LA TEORIA DE LOS VIDRIOS ROTOS",98,91,7,7,8,"URUGUAY","LATAM","pelicula",2,3,1,"FEBRERO",1,89
"90","EL SECRETO DE MARO",95,10,85,85,10,"ARGENTINA","ARGENTINA","pelicula",3,4,1,"FEBRERO",1,90
"91","""CICLO CULTURAL SAN MARTIN MARZO 2022""",88,88,NA,88,1,"","","festival",1,1,1,"FEBRERO",1,91
"92",""" 3RA SEMANA MUNDIAL DE LA CINEFILIA""",87,87,NA,87,1,"","","festival",1,1,1,"FEBRERO",1,92
"93","""MUESTRA ESPECIAL DEL BRASIL""",86,86,NA,86,1,"","","festival",1,1,1,"FEBRERO",1,93
"94","LA SOMBRA DEL GATO",74,42,16,16,9,"ARGENTINA","ARGENTINA","pelicula",1,3,1,"FEBRERO",1,94
"95","MUESTRA FUNDACIÓN COLUMBIA ENERO-ABRIL",60,10,18,21,6,"","","festival",1,4,1,"FEBRERO",1,95
"96","""TARDES DE CINE ARTE""",59,59,NA,59,1,"","","festival",1,1,1,"FEBRERO",1,96
"97","A LOS NIÑOS LA BELLEZA",38,22,14,2,3,"ARGENTINA","ARGENTINA","pelicula",2,4,1,"FEBRERO",1,97
"98","HUSEK",36,9,27,27,6,"ARGENTINA","ARGENTINA","pelicula",1,2,1,"FEBRERO",1,98
"99","EL APEGO",34,3,31,31,11,"ARGENTINA","ARGENTINA","pelicula",1,2,1,"FEBRERO",1,99
"100","EL PERFECTO DAVID",31,29,2,2,8,"ARGENTINA","ARGENTINA","pelicula",1,2,1,"FEBRERO",1,100
"101","9",27,5,22,22,7,"URUGUAY","LATAM","pelicula",3,4,1,"FEBRERO",1,101
"102","ANUNCIAN SISMOS",27,7,12,8,4,"ARGENTINA","ARGENTINA","pelicula",3,5,1,"FEBRERO",1,102
"103","RETIROS (IN) VOLUNTARIOS",25,25,NA,25,6,"ARGENTINA","ARGENTINA","documental",1,1,1,"FEBRERO",1,103
"104","ERRANTE CORAZON",22,22,NA,22,11,"ARGENTINA","ARGENTINA","pelicula",1,1,1,"FEBRERO",1,104
"105","EL MAESTRO",15,15,NA,15,3,"ARGENTINA","ARGENTINA","pelicula",2,2,1,"FEBRERO",1,105
"106","CERRO QUEMADO",13,13,NA,13,3,"ARGENTINA","ARGENTINA","pelicula",1,1,1,"FEBRERO",1,106
"107","INMORTAL",13,13,NA,13,11,"ARGENTINA","ARGENTINA","pelicula",1,1,1,"FEBRERO",1,107
"108","CHICAS ROLINGAS",8,8,NA,8,1,"ARGENTINA","ARGENTINA","pelicula",1,1,1,"FEBRERO",1,108
"109","UN JABALI AL ACECHO",8,8,NA,8,6,"ARGENTINA","ARGENTINA","pelicula",1,1,1,"FEBRERO",1,109
"110","MUESTRA ENTERRIANA ENERO-ABRIL",6,6,NA,6,2,"","","festival",1,1,1,"FEBRERO",1,110
"111","AGENTES 355",5,5,NA,5,3,"EE.UU","EE.UU","pelicula",1,1,1,"FEBRERO",1,111
"112","YO NENA YO PRINCESA",5,5,NA,5,13,"ARGENTINA","ARGENTINA","pelicula",1,1,1,"FEBRERO",1,112
