Fecha Estreno;Titulo;Entradas Total;Espec. Semana;Pantallas;Rank;Semana Cartel;extranjero;pais;region ;nombre;direccion;eyd;tipo;genero
7/4/2022;EL ULTIMO ZOMBI;1236;1236;7;16;1;0;ARGENTINA;ARGENTINA;Martín Basterretche;hombre;0.5;pelicula;terror
25/11/2021;ENCANTO;715794;928;11;17;22;1;EE.UU;EE.UU;Jared Bush, Byron Howard, Charise Castro Smith;mixto;0.5;pelicula;animacion
7/4/2022;UNA SEMANA CON BERGMAN - 9NA SEMANA DE CINE PORTUGUES ..;816;816;1;18;1;;;;;;;festival;
7/4/2022;"""ESPANORAMAS""";806;806;2;19;1;;;;;;;festival;
14/4/2022;ANIMALES FANTASTICOS: LOS SECRETOS DE DUMBLEDORE;801;801;3;20;1;1;UK;EUROPA;David Yates;hombre;0;pelicula;fantasia
17/3/2022;AMBULANCIA;38639;775;4;21;4;1;EE.UU;EE.UU;Michael Bay;hombre;0;pelicula;accion
4/4/2022;EXHIBICIÓN DE RYUSUKE HAMAGUCHI;434;434;1;22;1;;;;;;;festival;
26/11/2021;SALIR DE PUTA;1414;395;1;23;4;0;ARGENTINA;ARGENTINA;Sofía Rocha;mujer;1;documental;documental
24/11/2011;EL PADRINO 50 AÑOS;82483;377;1;24;19;1;EE.UU;EE.UU;Francis Ford Coppola;hombre;0.5;pelicula;drama 
7/4/2022;ULTIMA PIEZA;373;373;1;25;1;0;ARGENTINA;ARGENTINA;Luciano Romero;hombre;1;pelicula;drama 
1/3/2022;"""EL CAIRO MARZO- ABRIL 2022""";1922;371;1;26;6;;;;;;;festival;
26/9/2019;LA SOMBRA DEL GALLO;1571;335;1;27;8;0;ARGENTINA;ARGENTINA;Nicolás Herzog;hombre;0.5;pelicula;thriller
9/4/2022;LA OTRA PARTE;328;328;1;28;1;0;ARGENTINA;ARGENTINA;Felipe Restrepo;hombre;0;documental;documental
31/3/2022;CICLO ABRIL - GCBA;458;318;1;29;2;;;;;;;festival;
7/4/2022;EL ENCANTO DE LA MOSCA;299;299;1;30;1;0;ARGENTINA;ARGENTINA;Lucía Levis Bilsky, Octavio Comba;mixto;0.5;documental;documental
22/3/2022;AZOR;3349;282;6;31;4;1;SUIZA;EUROPA;Andreas Fontana;hombre;0.5;pelicula;thriller
10/3/2022;LAS NOCHES SON DE LOS MONSTRUOS;1107;259;9;32;5;0;ARGENTINA;ARGENTINA;Sebastian Perillo;hombre;0;pelicula;fantasia
16/12/2021;PETITE MAMAN;982;249;1;33;5;1;FRANCIA;EUROPA;Céline Sciamma;mujer;1;pelicula;drama 
17/3/2022;A CIEGAS;11697;244;2;34;5;1;CANADA;NORTE AMERICA;Randall Okita;hombre;0;pelicula;thriller
