"","Titulo","entradas_mes","entradas_first_semana","entradas_ult_semana","var_entradas_mensual","entradas_semama_anterio","var_pantallas_semana_previa","var_pantallas_mes","var_rank_mensual","var_rank_ult_semana","rank"
"121","EXODO",19,19,19,0.00%,NA, NA,0.00%,0,NA,121
"122","JESÚS LÓPEZ",16,16,16,0.00%,NA, NA,0.00%,0,NA,122
"123","LA ENCOMIENDA",15,15,15,0.00%,NA, NA,0.00%,0,NA,123
"124","""FUNDACION COLUMBIA MAR-MAY""",14,2,6,200.00%,6,0.00%,0.00%,8,9,124
"125","MILAGRO DE OTOÑO",13,13,13,0.00%,NA, NA,0.00%,0,NA,125
"126","ESTRENO DOCUMENTAL EL MISMO RIO",10,10,10,0.00%,NA, NA,0.00%,0,NA,126
"127","HUSEK",8,8,8,0.00%,NA, NA,0.00%,0,NA,127
"128","ANUNCIAN SISMOS",7,7,7,0.00%,NA, NA,0.00%,0,NA,128
"129","EL MAESTRO",7,7,7,0.00%,NA, NA,0.00%,0,NA,129
"130","FIDEL NIÑO VALIENTE",4,4,4,0.00%,NA, NA,0.00%,0,NA,130
"131","EL CUENTO DEL TIO",3,3,3,0.00%,NA, NA,0.00%,0,NA,131
"132","NIDO",3,3,3,0.00%,NA, NA,0.00%,0,NA,132
"133","A LOS NIÑOS LA BELLEZA",2,2,2,0.00%,NA, NA,0.00%,0,NA,133
