Fecha Estreno;Titulo;Entradas Total;Espec. Semana;Pantallas;Rank;Semana Cartel;extranjero;pais;region ;nombre;direccion;eyd;tipo;genero
7/4/2022;EL CAMINO ETERNO;315;101;1;38;2;0;ARGENTINA;ARGENTINA;Hernán Moyano;hombre;0.5;documental;documental
10/3/2022;EL PAIS DE LAS ULTIMAS COSAS;867;72;4;39;6;0;ARGENTINA;ARGENTINA;Alejandro Chomski;hombre;0.5;pelicula;drama 
7/4/2022;FUI ALAN POR UN AÑO;328;64;1;40;3;0;ARGENTINA;ARGENTINA;Darío Arcella;hombre;1;documental;documental
28/4/2022;DOWNTON ABBEY: UNA NUEVA ERA;64;64;1;41;1;1;UK;EUROPA;Simon Curtis;hombre;0;pelicula;drama 
24/4/2022;EL SEÑOR DE LOS ARBOLES;60;60;1;42;1;0;ARGENTINA;ARGENTINA;Agustina Toia y Severo Callaci;mixto;0;documental;documental
10/3/2022;AXIOMAS;3399;59;4;43;8;0;ARGENTINA;ARGENTINA;Marcela Luchetta;mujer;0.5;pelicula;drama 
1/3/2022;"""TARDES DE CINE ARTE""";624;54;1;44;9;;;;;;;festival;
4/3/2022;ATLAS;699;52;1;45;7;1;SUIZA;EUROPA;Niccolò Castelli;hombre;0.5;pelicula;drama 
6/1/2022;YO TRAIDOR;4760;46;1;46;15;0;ARGENTINA;ARGENTINA;Rodrigo Fernandez Engler;hombre;0.5;pelicula;drama 
11/11/2021;LA FORMA DEL BOSQUE;1934;46;3;47;6;0;ARGENTINA;ARGENTINA;Gonzalo Mellid;hombre;1;pelicula;terror
30/12/2021;LA TEORIA DE LOS VIDRIOS ROTOS;850;45;1;48;13;1;URUGUAY;LATAM;Diego Fernández;hombre;0.5;pelicula;comedia
2/12/2021;EX CASADOS;27914;42;2;49;19;0;ARGENTINA;ARGENTINA;Sabrina Farji;mujer;0.5;pelicula;romcom
30/12/2021;SEXO DESAFORTUNADO O PORNO LOCO;2481;37;1;50;12;1;BELGICA;EUROPA;Radu Jude;hombre;1;pelicula;drama 
17/2/2022;SECTOR VIP;527;36;5;51;3;0;ARGENTINA;ARGENTINA;Eduardo Pinto;hombre;0;pelicula;drama 
27/1/2022;PIEDRA NOCHE;1135;36;1;52;7;0;ARGENTINA;ARGENTINA;Eduardo Pinto;hombre;0;pelicula;drama 
9/12/2021;TRES EN LA DERIVA DEL ACTO CREATIVO;1124;34;1;53;14;0;ARGENTINA;ARGENTINA;Fernando E. Solanas;hombre;1;documental;documental
17/3/2022;MISERERE;1070;27;1;54;4;0;ARGENTINA;ARGENTINA;Francisco Ríos Flores;hombre;1;documental;drama 
12/3/2020;NI HEROE NI TRAIDOR;651;25;1;55;4;0;ARGENTINA;ARGENTINA;Nicolás Savignone;hombre;0.5;pelicula;drama 
17/1/2019;RODOLFO WALSH - EL DOCUMENTAL;145;24;1;56;5;0;ARGENTINA;ARGENTINA;Fermín Rivera;hombre;1;documental;documental
22/3/2022;AZOR;3559;20;2;57;6;1;SUIZA;EUROPA;Andreas Fontana;hombre;0.5;pelicula;thriller
1/1/2022;MUESTRA ENTERRIANA ENERO-ABRIL;92;19;1;58;6;;;;;;;festival;
7/4/2022;ABUELAS;77;18;1;59;3;0;ARGENTINA;ARGENTINA;Cristian Arriaga;hombre;1;documental;documental
12/4/2022;EXHIBICIÓN ANDREY ZVYAGINTSEV;62;16;1;60;3;;;;;;;festival;
18/11/2021;1982;408;14;1;61;5;0;ARGENTINA;ARGENTINA;Lucas Gallo;hombre;1;documental;documental
13/2/2020;SONIC LA PELICULA;701434;14;2;62;24;1;EE.UU;EE.UU;Jeff Fowler;hombre;0;pelicula;ciencia ficcion
2/12/2021;MILAGRO DE OTOÑO;1784;13;1;63;11;0;ARGENTINA;ARGENTINA;Néstor Zapata;hombre;0.5;pelicula;drama 
17/2/2022;PUNTO ROJO;992;11;1;64;6;1;SUECIA ;EUROPA;Alain Darborg;hombre;0.5;pelicula;thriller
21/10/2021;TARARA;489;11;1;65;4;0;ARGENTINA;ARGENTINA;Ernesto Fontán;hombre;1;documental;documental
6/1/2022;HUSEK;851;8;2;66;7;0;ARGENTINA;ARGENTINA;Daniela Seggiaro;mujer;0.5;pelicula;drama 
13/1/2022;HOY SE ARREGLA EL MUNDO;71714;6;1;67;16;0;ARGENTINA;ARGENTINA;Ariel Winograd;hombre;0;pelicula;drama 
1/3/2022;"""FUNDACION COLUMBIA MAR-MAY""";33;6;1;68;5;;;;;;;festival;
3/3/2022;BAJO LA CORTEZA;2054;5;2;69;8;0;ARGENTINA;ARGENTINA;Martín Heredia Troncoso;hombre;0.5;pelicula;drama 
17/2/2022;NOCHE AMERICANA;2942;2;1;70;9;0;ARGENTINA;ARGENTINA;Alejandro Bazzano;hombre;0.5;pelicula;comedia
