"","Titulo","entradas_mes","entradas_ult_semana","entradas_semama_anterio","entradas_first_semana","semanas_total","pantallas_max","pantallas_mes","pantallas_ult_semana","pantallas_semana_anterior","pantallas_first_semana","semanas_mes","pais","region","tipo","cantidad","mes","Rank","rank_mes","rank_anterior","direccion","director","rank_total"
"65","MUERTE EN EL NILO",312,146,166,166,9,1,2,1,1,1,2,"EE.UU","EE.UU","pelicula",1,"ABRIL",44,38,38,"hombre","NO GUIONISTA",65
"66","EL ENCANTO DE LA MOSCA",299,299,NA,299,1,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"ABRIL",30,30,NA,"mixto","CO-GUIONISTA",66
"67","HOY SE ARREGLA EL MUNDO",297,6,42,120,16,4,9,1,1,4,4,"ARGENTINA","ARGENTINA","pelicula",1,"ABRIL",67,48,55,"hombre","NO GUIONISTA",67
"68","EL PAIS DE LAS ULTIMAS COSAS",273,72,18,119,6,4,10,4,2,1,4,"ARGENTINA","ARGENTINA","pelicula",1,"ABRIL",39,49,60,"hombre","CO-GUIONISTA",68
"69","SONIC LA PELICULA",269,14,172,83,24,2,4,2,1,1,3,"EE.UU","EE.UU","pelicula",1,"ABRIL",62,53,36,"hombre","NO GUIONISTA",69
"70","BAJO LA CORTEZA",268,5,13,231,8,4,9,2,1,4,4,"ARGENTINA","ARGENTINA","pelicula",1,"ABRIL",69,34,62,"hombre","CO-GUIONISTA",70
"71","KING RICHARD: UNA FAMILIA GANADORA",265,265,NA,265,9,2,2,2,NA,2,1,"EE.UU","EE.UU","pelicula",1,"ABRIL",31,31,NA,"hombre","NO GUIONISTA",71
"72","LA CASA DE LOS CONEJOS",262,262,NA,262,14,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"ABRIL",29,29,NA,"mujer","GUIONISTA",72
"73","PETITE MAMAN",249,249,NA,249,5,1,1,1,NA,1,1,"FRANCIA","EUROPA","pelicula",1,"ABRIL",33,33,NA,"mujer","GUIONISTA",73
"74","""TARDES DE CINE ARTE""",247,54,73,58,9,1,4,1,1,1,4,"","","festival",1,"ABRIL",44,55,53,"",NA,74
"75","SPENCER",246,246,NA,246,7,2,2,2,NA,2,1,"UK","EUROPA","pelicula",1,"ABRIL",33,33,NA,"hombre","NO GUIONISTA",75
"76","MADRE PLANTA",241,241,NA,241,1,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"ABRIL",30,30,NA,"hombre","GUIONISTA",76
"77","NOSOTRAS TAMBIÉN ESTUVIMOS",228,7,221,221,12,17,18,1,17,17,2,"ARGENTINA","ARGENTINA","documental",1,"ABRIL",74,35,35,"hombre","GUIONISTA",77
"78","NOCHE AMERICANA",217,2,7,118,9,2,5,1,1,1,4,"ARGENTINA","ARGENTINA","pelicula",1,"ABRIL",70,50,64,"hombre","CO-GUIONISTA",78
"79","BOROM TAXI",212,212,NA,212,1,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"ABRIL",36,36,NA,"hombre","GUIONISTA",79
"80","EX CASADOS",199,42,14,143,19,3,6,2,1,3,3,"ARGENTINA","ARGENTINA","pelicula",1,"ABRIL",49,39,70,"mujer","CO-GUIONISTA",80
"81","SARA MAMANI",182,182,NA,182,1,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"ABRIL",34,34,NA,"mujer","NO GUIONISTA",81
"82","TRES EN LA DERIVA DEL ACTO CREATIVO",177,34,87,56,14,1,3,1,1,1,3,"ARGENTINA","ARGENTINA","documental",1,"ABRIL",53,56,51,"hombre","GUIONISTA",82
"83","ATLAS",166,52,60,54,7,1,3,1,1,1,3,"SUIZA","EUROPA","pelicula",1,"ABRIL",45,58,58,"hombre","CO-GUIONISTA",83
