"","Titulo","entradas_mes","entradas_first_semana","entradas_ult_semana","var_entradas_mensual","entradas_semama_anterio","var_pantallas_semana_previa","var_pantallas_mes","var_rank_mensual","var_rank_ult_semana","rank"
"120","LA ENCOMIENDA",14,14,14,0.00%,NA, NA,0.00%,0,NA,120
"121","LA GUARDERÍA",14,14,14,0.00%,NA, NA,0.00%,0,NA,121
"122","SUEÑOS",13,13,13,0.00%,NA, NA,0.00%,0,NA,122
"123","BERNARDA ES LA PATRIA",10,10,10,0.00%,NA, NA,0.00%,0,NA,123
"124","EL PISO DEL VIENTO",10,9,1,-88.89%,9,0.00%,0.00%,-19,-19,124
"125","""FUNDACION COLUMBIA MAR-MAY""",8,8,8,0.00%,NA, NA,0.00%,0,NA,125
"126","9",6,6,6,0.00%,NA, NA,0.00%,0,NA,126
"127","EL CUENTO DEL TIO",6,6,6,0.00%,NA, NA,0.00%,0,NA,127
"128","NIDO",6,6,6,0.00%,NA, NA,0.00%,0,NA,128
"129","UNA CASA SIN CORTINAS",5,5,5,0.00%,NA, NA,0.00%,0,NA,129
"130","LO QUE EL CUERPO DEBE",4,4,4,0.00%,NA, NA,0.00%,0,NA,130
"131","LAS RANAS",3,3,3,0.00%,NA, NA,0.00%,0,NA,131
