"","Titulo","entradas_mes","entradas_ult_semana","entradas_semama_anterio","entradas_first_semana","semanas_total","pantallas_max","pantallas_mes","pantallas_ult_semana","pantallas_semana_anterior","pantallas_first_semana","semanas_mes","pais","region","tipo","cantidad","mes","�..Rank","rank_mes","rank_anterior","direccion","eyd","rank_total"
"118","RODOLFO WALSH - EL DOCUMENTAL",15,15,NA,15,3,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"MARZO",63,63,NA,"hombre",1,118
"119","EN COMPAÑIA",14,14,NA,14,4,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"MARZO",65,65,NA,"mujer",0.5,119
"120","LA ENCOMIENDA",14,14,NA,14,6,2,2,2,NA,2,1,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",55,55,NA,"hombre",0.5,120
"121","LA GUARDERÍA",14,14,NA,14,22,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"MARZO",64,64,NA,"mujer",0,121
"122","SUEÑOS",13,13,NA,13,2,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"MARZO",68,68,NA,"hombre",1,122
"123","BERNARDA ES LA PATRIA",10,10,NA,10,9,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"MARZO",65,65,NA,"hombre",0.5,123
"124","EL PISO DEL VIENTO",10,1,9,9,3,1,2,1,1,1,2,"ARGENTINA","ARGENTINA","documental",1,"MARZO",78,59,59,"mixto",1,124
"125","""FUNDACION COLUMBIA MAR-MAY""",8,8,NA,8,1,1,1,1,NA,1,1,"","","festival",1,"MARZO",73,73,NA,"",NA,125
"126","9",6,6,NA,6,8,1,1,1,NA,1,1,"URUGUAY","LATAM","pelicula",1,"MARZO",64,64,NA,"hombre",1,126
"127","EL CUENTO DEL TIO",6,6,NA,6,10,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",62,62,NA,"hombre",1,127
"128","NIDO",6,6,NA,6,3,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"MARZO",68,68,NA,"hombre",1,128
"129","UNA CASA SIN CORTINAS",5,5,NA,5,8,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","documental",1,"MARZO",69,69,NA,"hombre",0.5,129
"130","LO QUE EL CUERPO DEBE",4,4,NA,4,1,1,1,1,NA,1,1,"","","",1,"MARZO",76,76,NA,"",NA,130
"131","LAS RANAS",3,3,NA,3,10,1,1,1,NA,1,1,"ARGENTINA","ARGENTINA","pelicula",1,"MARZO",68,68,NA,"hombre",1,131
