Rank;Fecha Estreno;Titulo;Espec. Semana;Entradas Total;Pantallas;Semana Cartel;extranjero;pais;region ;nombre;direccion;eyd;tipo;genero
57;7/4/2022;FUI ALAN POR UN AÑO;41;369;1;4;0;ARGENTINA;ARGENTINA;Darío Arcella;hombre;1;documental;documental
58;5/3/2021;EL MAESTRO;36;445;2;7;0;ARGENTINA;ARGENTINA;Cristina Tamagnini, Julián Dabien;mixto;0.5;pelicula;drama 
59;22/3/2022;AZOR;36;3595;2;7;1;SUIZA;EUROPA;Andreas Fontana;hombre;0.5;pelicula;thriller
60;24/3/2022;JUJUTSU KAISEN 0;33;119350;1;7;1;JAPON;ASIA;Sunghoo Park;hombre;0;pelicula;animacion
61;1/5/2022;MUESTRA ENTRERRIANA MAYO-OCT;33;33;1;1;;;;;;;festival;
62;31/3/2022;LA RUEDA DE LA FORTUNA Y LA FANTASIA;31;1130;1;3;1;JAPON;ASIA;Ryûsuke Hamaguchi;hombre;1;pelicula;drama 
63;17/2/2022;SECTOR VIP;30;557;4;4;0;ARGENTINA;ARGENTINA;Eduardo Pinto;hombre;0;pelicula;drama 
64;3/2/2022;LAS COSAS QUE DECIMOS, LAS COSAS QUE HACEMOS;16;2566;1;10;1;FRANCIA;EUROPA;Emmanuel Mouret;hombre;1;pelicula;romance
65;14/4/2022;SARA MAMANI;12;194;1;2;0;ARGENTINA;ARGENTINA;Susana Moreira;mujer;0;documental;documental
66;31/3/2022;BOROM TAXI;12;224;2;2;0;ARGENTINA;ARGENTINA;Andrés Guerberoff;hombre;1;documental;documental
67;1/5/2022;"""UN LARGO ADIÓS: EL MARLOWE DE CHANDLER""";12;12;1;1;;;;;;;festival;
68;6/1/2022;YO TRAIDOR;10;4804;1;17;0;ARGENTINA;ARGENTINA;Rodrigo Fernandez Engler;hombre;0.5;pelicula;drama 
69;9/5/2022;ARTEÓN CINE ARTE;10;10;1;1;;;;;;;festival;
70;11/11/2021;LA FORMA DEL BOSQUE;9;1943;1;7;0;ARGENTINA;ARGENTINA;Gonzalo Mellid;hombre;1;pelicula;terror
71;7/4/2022;ULTIMA PIEZA;9;444;1;4;0;ARGENTINA;ARGENTINA;Luciano Romero;hombre;1;pelicula;drama 
72;1/5/2022;"""FOECX COLUMBIA""";5;5;1;1;;;;;;;festival;
73;28/4/2022;I NOSTRI GIORNI (NUESTROS DIAS);2;143;1;2;0;ARGENTINA;ARGENTINA;Gisela Peláez;mujer;0.5;documental;documental
74;17/1/2019;RODOLFO WALSH - EL DOCUMENTAL;2;147;1;6;0;ARGENTINA;ARGENTINA;Fermín Rivera;hombre;1;documental;documental
