Rank;Fecha Estreno;Titulo;Entradas Total;Pantallas;Espec. Semana;Semana Cartel;extranjero;pais;region ;nombre;direccion;eyd;tipo;genero
69;21/10/2021;TARARA;504;1;15;5;0;ARGENTINA;ARGENTINA;Ernesto Fontán;hombre;1;documental;documental
70;14/4/2022;MADRE PLANTA;309;1;14;3;0;ARGENTINA;ARGENTINA;Lisandro Costa, Alejandro Espolsino, Francisco López;hombre;1;documental;documental
71;24/2/2022;RE GRANCHIO;2414;1;12;11;1;ITALIA;EUROPA;Alessio Rigo de Righi, Matteo Zoppis;hombre;1;pelicula;drama 
72;12/7/2007;PULQUI, UN INSTANTE EN LA PATRIA;2050;1;11;20;0;ARGENTINA;ARGENTINA;Alejandro Fernández Mouján;hombre;1;documental;documental
73;1/5/2022;"""FOECX COLUMBIA""";16;1;11;2;;;;;;;festival;
74;22/8/2002;LAS PALMAS, CHACO;200;1;10;2;0;ARGENTINA;ARGENTINA;Alejandro Fernández Mouján;hombre;1;documental;documental
75;3/2/2022;LAS COSAS QUE DECIMOS, LAS COSAS QUE HACEMOS;2574;1;8;11;1;FRANCIA;EUROPA;Emmanuel Mouret;hombre;1;pelicula;romance
76;24/3/2022;JUJUTSU KAISEN 0;119358;1;8;8;1;JAPON;ASIA;Sunghoo Park;hombre;0;pelicula;animacion
77;10/3/2022;EL PAIS DE LAS ULTIMAS COSAS;872;1;5;7;0;ARGENTINA;ARGENTINA;Alejandro Chomski;hombre;0.5;pelicula;drama 
78;4/5/2010;LOS RESISTENTES;470;1;5;9;0;ARGENTINA;ARGENTINA;Alejandro Fernández Mouján;hombre;0.5;documental;documental
79;26/9/2019;LA SOMBRA DEL GALLO;1696;1;4;10;0;ARGENTINA;ARGENTINA;Nicolás Herzog;hombre;0.5;pelicula;thriller
80;17/2/2022;PUNTO ROJO;996;1;4;7;1;SUECIA;EUROPA;Alain Darborg;hombre;0.5;pelicula;thriller
81;7/4/2022;EL ULTIMO ZOMBI;1751;1;2;6;0;ARGENTINA;ARGENTINA;Martín Basterretche;hombre;0.5;pelicula;terror
82;28/4/2022;I NOSTRI GIORNI (NUESTROS DIAS);145;1;2;3;0;ARGENTINA;ARGENTINA;Gisela Peláez;mujer;0.5;documental;documental
83;31/3/2022;BOROM TAXI;225;1;1;3;0;ARGENTINA;ARGENTINA;Andrés Guerberoff;hombre;1;documental;documental
